findings,count
Integer_Overflow,236
Reentrancy,196
compiler_version,142
solc_version,138
SOLIDITY_PRAGMAS_VERSION,138
Integer_Underflow,129
Not_destructible_no_self_destruct,128
No_Ether_lock_Ether_refused,100
SOLIDITY_VISIBILITY,94
naming_convention,89
SOLIDITY_UPGRADE_TO_050,87
avoid_low_level_calls,79
reason_string,77
Overflow_bugs,76
Money_flow,75
low_level_calls,75
state_visibility,71
avoid_call_value,63
Unchecked_Low_Level_Call,60
Reentrancy_bug,57
SOLIDITY_UNCHECKED_CALL,57
func_visibility,55
Unhandled_Exception,55
external_function,53
No_Ether_leak_no_send,53
var_name_mixedcase,52
MissingInputValidation,51
Exception_Disorder,50
missing_zero_check,49
func_name_mixedcase,48
Callstack_Depth_Attack_Vulnerability,48
Transaction_Order_Dependency,47
External_Call_To_User_Supplied_Address_SWC_107,47
UnhandledException,46
Gasless_Send,46
Unchecked_return_value_from_external_call_SWC_104,45
unchecked_lowlevel,44
Timestamp_Dependency,44
SOLIDITY_DEPRECATED_CONSTRUCTIONS,43
Underflow_bugs,42
Concurrency_bug,42
Assertion_Failure,42
not_rely_on_time,39
SOLIDITY_CALL_WITHOUT_DATA,38
Transaction_Order_Dependence_SWC_114,38
constable_states,36
controlled_array_length,34
Transaction_Ordering_Dependence_TOD,33
Time_Manipulation,33
Re_Entrancy_Vulnerability,33
reentrancy_eth,32
use_prefix_increment_not_postfix,32
visibility_modifier_order,31
use_nested_if,31
deprecated_standards,31
SOLIDITY_ADDRESS_HARDCODED,30
contract_name_camelcase,30
arbitrary_send_eth,29
TODAmount,28
Multiple_Calls_in_a_Single_Transaction_SWC_113,28
Truncation_bugs,26
reentrancy_unlimited_gas,25
DAO,25
unnecessary_checked_arithmetic_in_loop,25
Callstack_bug,24
SOLIDITY_REVERT_REQUIRE,24
Integer_Arithmetic_Bugs_SWC_101,23
SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA,23
timestamp,23
reentrancy,22
Exception_State_SWC_110,22
Transaction_Ordering_Dependence,21
Block_Dependency,21
State_access_after_external_call_SWC_107,21
SOLIDITY_GAS_LIMIT_IN_LOOPS,20
array_length_outside_loop,20
SOLIDITY_EXTRA_GAS_IN_LOOPS,20
Straw_man_contract,19
inefficient_state_variable_increment,19
avoid_throw,18
state_variable_read_in_a_loop,17
init_variables_with_default_value,16
TODTransfer,15
avoid_sha3,15
check_send_result,15
Leaking_Ether,15
calls_loop,13
const_name_snakecase,13
weak_prng,13
Block_Number_Dependency,12
Unprotected_Ether_Withdrawal_SWC_105,12
non_payable_constructor,12
no_unused_vars,12
incorrect_modifier,12
unchecked_send,12
SOLIDITY_ARRAY_LENGTH_MANIPULATION,11
TODReceiver,11
multiple_sends,11
events_access,10
incorrect_equality,10
avoid_tx_origin,9
payable_fallback,9
Ether_leak_verified,9
DAOConstantGas,9
not_rely_on_block_hash,8
use_prefix_decrement_not_postfix,8
events_maths,8
no_empty_blocks,7
quotes,7
unused_state,7
reentrancy_events,7
Dependence_on_predictable_environment_variable_SWC_116,7
shadowing_state,7
reentrancy_benign,6
Time_dependency_bug,6
use_multiple_require,6
Dependence_on_predictable_environment_variable_SWC_120,6
too_many_digits,6
SOLIDITY_LOCKED_MONEY,6
use_ownable2step,6
SOLIDITY_OVERPOWERED_ROLE,5
tautology,5
SOLIDITY_ERC20_APPROVE,5
reentrancy_no_eth,5
Arbitrary_Memory_Access,5
shadowing_local,5
avoid_suicide,4
SOLIDITY_USING_INLINE_ASSEMBLY,4
cache_array_length,4
SOLIDITY_TX_ORIGIN,4
uninitialized_state,4
Dependence_on_tx_origin_SWC_115,4
UnrestrictedEtherFlow,4
no_inline_assembly,4
unchecked_transfer,3
constant_function_asm,3
SOLIDITY_SEND,3
SOLIDITY_SAFEMATH,3
costly_loop,3
assembly,3
dead_code,3
no_complex_fallback,3
SOLIDITY_DIV_MUL,3
divide_before_multiply,3
uninitialized_storage,3
locked_ether,3
boolean_equal,3
suicidal,2
use_short_revert_string,2
use_custom_error_not_require,2
Balance_disorder,2
Delegatecall_to_user_supplied_address_SWC_112,2
Destructible_verified,2
Division_bugs,2
Dangerous_Delegate_Call,2
tx_origin,2
Unprotected_Selfdestruct,2
missing_inheritance,2
SOLIDITY_SHOULD_RETURN_STRUCT,2
SOLIDITY_REDUNDANT_FALLBACK_REJECT,2
controlled_delegatecall,2
max_states_count,2
erc20_interface,2
SOLIDITY_VAR,2
Write_to_an_arbitrary_storage_location_SWC_124,2
SOLIDITY_TRANSFER_IN_LOOP,1
SOLIDITY_UINT_CANT_BE_NEGATIVE,1
encode_packed_collision,1
SOLIDITY_SHOULD_NOT_BE_VIEW,1
SOLIDITY_SHOULD_NOT_BE_PURE,1
delegatecall_to_arbitrary_address,1
unused_return,1
Unsafe_Delegatecall,1
return_bomb,1
uninitialized_local,1
shadowing_builtin,1
event_name_camelcase,1
SOLIDITY_MSGVALUE_EQUALS_ZERO,1
incorrect_use_of_blockhash,1
SOLIDITY_INCORRECT_BLOCKHASH,1
SOLIDITY_EXACT_TIME,1
Unprotected_Selfdestruct_SWC_106,1
Hidden_state_update,1
redundant_statements,1
Freezing_Ether,1
Ether_lock,1
requirement_violation_SWC_123,1
SOLIDITY_BALANCE_EQUALITY,1
